filename,word,gloss,entry_url,video_url,download_date,http_status,bytes
angry_signbank_001.mp4,angry,ANGRY,https://bslsignbank.ucl.ac.uk/dictionary/words/angry-1.html,https://bslsignbank.ucl.ac.uk/media/bsl-video/AN/ANGRY.mp4,2026-07-27,200,623633
angry_signbank_002.mp4,angry,LOSE-TEMPER,https://bslsignbank.ucl.ac.uk/dictionary/words/angry-2.html,https://bslsignbank.ucl.ac.uk/media/bsl-video/LO/LOSE-TEMPER.mp4,2026-07-27,200,635172
ask_signbank_001.mp4,ask,ASK,https://bslsignbank.ucl.ac.uk/dictionary/words/ask-1.html,https://bslsignbank.ucl.ac.uk/media/bsl-video/AS/ASK.mp4,2026-07-27,200,639837
baby_signbank_001.mp4,baby,BABY,https://bslsignbank.ucl.ac.uk/dictionary/words/baby-1.html,https://bslsignbank.ucl.ac.uk/media/bsl-video/BA/BABY.mp4,2026-07-27,200,884495
bad_signbank_001.mp4,bad,BAD,https://bslsignbank.ucl.ac.uk/dictionary/words/bad-1.html,https://bslsignbank.ucl.ac.uk/media/bsl-video/BA/BAD.mp4,2026-07-27,200,713346
bad_signbank_002.mp4,bad,HORRIBLE,https://bslsignbank.ucl.ac.uk/dictionary/words/bad-2.html,https://bslsignbank.ucl.ac.uk/media/bsl-video/HO/HORRIBLE.mp4,2026-07-27,200,641455
brother_signbank_001.mp4,brother,BROTHER,https://bslsignbank.ucl.ac.uk/dictionary/words/brother-1.html,https://bslsignbank.ucl.ac.uk/media/bsl-video/BR/BROTHER.mp4,2026-07-27,200,858857
drink_signbank_001.mp4,drink,DRINK,https://bslsignbank.ucl.ac.uk/dictionary/words/drink-1.html,https://bslsignbank.ucl.ac.uk/media/bsl-video/DR/DRINK.mp4,2026-07-27,200,795725
eat_signbank_001.mp4,eat,DESSERT,https://bslsignbank.ucl.ac.uk/dictionary/words/eat-1.html,https://bslsignbank.ucl.ac.uk/media/bsl-video/DE/DESSERT.mp4,2026-07-27,200,759162
eat_signbank_002.mp4,eat,EAT,https://bslsignbank.ucl.ac.uk/dictionary/words/eat-2.html,https://bslsignbank.ucl.ac.uk/media/bsl-video/EA/EAT.mp4,2026-07-27,200,726848
